"wfh_freq_c","mean","std.error","conf.low","conf.high","access","gender"
0,69.8922713866003,0.719896446733875,68.4811644140112,71.3033783591893,"Low","Male"
0,67.865420614304,0.707507579373244,66.4785977136734,69.2522435149347,"Low","Female"
0,70.9293991614181,0.836778323834511,69.2891858604199,72.5696124624163,"High","Male"
0,68.0209832390692,0.875727285354733,66.3044240255086,69.7375424526298,"High","Female"
1,70.774408150095,0.736468893044724,69.3308166519215,72.2179996482685,"Low","Male"
1,67.6197208626847,0.708363480453888,66.2312202652294,69.00822146014,"Low","Female"
1,70.9757710351755,0.74749630774771,69.5105641201631,72.440977950188,"High","Male"
1,68.1462177680133,0.77086631861671,66.6352020628112,69.6572334732154,"High","Female"
2,71.6565449135897,0.893708887077106,69.9047390146428,73.4083508125366,"Low","Male"
2,67.3740211110654,0.812830298108201,65.7807495976471,68.9672926244836,"Low","Female"
2,71.0221429089329,0.760708131691206,69.5310388013842,72.5132470164817,"High","Male"
2,68.2714522969574,0.758510227411571,66.7846564174436,69.7582481764713,"High","Female"
3,72.5386816770844,1.13456525915184,70.3147605071577,74.7626028470111,"Low","Male"
3,67.1283213594461,0.988589800734538,65.1905343802549,69.0661083386373,"Low","Female"
3,71.0685147826904,0.871766228878644,69.3597198447247,72.777309720656,"High","Male"
3,68.3966868259016,0.84273775876342,66.7447921223641,70.048581529439,"High","Female"
4,73.4208184405791,1.41702317825913,70.6432366144239,76.1984002667343,"Low","Male"
4,66.8826216078267,1.20483564116514,64.5209597580074,69.2442834576461,"Low","Female"
4,71.1148866564478,1.0500710541068,69.0565870317077,73.1731862811878,"High","Male"
4,68.5219213548457,0.999421020416619,66.5629035310179,70.4809391786735,"High","Female"
